Metric,Value,Unit,Category,Source
Compounded Sales Growth (10 Years),9,%,Growth,Screener
Compounded Sales Growth (5 Years),14,%,Growth,Screener
Compounded Sales Growth (3 Years),17,%,Growth,Screener
Compounded Profit Growth (10 Years),13,%,Growth,Screener
Compounded Profit Growth (5 Years),13,%,Growth,Screener
Compounded Profit Growth (3 Years),49,%,Growth,Screener
Stock Price CAGR (10 Years),8,%,Valuation,Screener
Stock Price CAGR (5 Years),8,%,Valuation,Screener
Stock Price CAGR (3 Years),14,%,Valuation,Screener
Stock Price CAGR (1 Year),15,%,Valuation,Screener
Return on Equity (10 Years),14,%,Profitability,Screener
Return on Equity (5 Years),15,%,Profitability,Screener
Return on Equity (3 Years),18,%,Profitability,Screener
Return on Equity (Last Year),20,%,Profitability,Screener
